Tiempo(s),Pitch(rad),Roll(rad),Yaw(rad)
0.0,-0.054,-0.054,-2.11
0.05,-0.053,-0.054,-2.11
0.6,-0.053,-0.054,-2.11
0.65,-0.053,-0.054,-2.11
1.2,-0.053,-0.054,-2.11
1.26,-0.053,-0.054,-2.11
1.31,-0.054,-0.054,-2.11
1.86,-0.054,-0.054,-2.11
1.91,-0.053,-0.054,-2.11
1.96,-0.054,-0.054,-2.11
2.51,-0.053,-0.054,-2.11
2.56,-0.053,-0.054,-2.11
2.61,-0.053,-0.054,-2.11
3.16,-0.054,-0.054,-2.11
3.21,-0.053,-0.054,-2.11
3.76,-0.054,-0.054,-2.11
3.81,-0.053,-0.054,-2.11
3.86,-0.054,-0.054,-2.11
4.41,-0.053,-0.054,-2.11
4.46,-0.054,-0.054,-2.11
5.02,-0.053,-0.054,-2.109
5.07,-0.053,-0.054,-2.109
5.12,-0.053,-0.054,-2.109
5.67,-0.053,-0.054,-2.109
5.72,-0.053,-0.054,-2.109
5.77,-0.053,-0.054,-2.109
6.32,-0.053,-0.054,-2.109
6.37,-0.053,-0.054,-2.109
6.42,-0.053,-0.054,-2.109
6.97,-0.053,-0.054,-2.109
7.02,-0.053,-0.054,-2.109
7.57,-0.053,-0.053,-2.109
7.63,-0.053,-0.054,-2.109
7.68,-0.054,-0.054,-2.112
8.23,-0.055,-0.054,-2.128
8.28,-0.057,-0.054,-2.172
8.83,-0.054,-0.051,-2.225
8.88,-0.06,-0.053,-2.217
8.93,-0.071,-0.052,-2.197
9.48,-0.089,-0.052,-2.167
9.53,-0.064,-0.054,-2.1
9.58,-0.096,-0.057,-2.065
10.13,-0.083,-0.055,-2.067
10.19,-0.066,-0.054,-2.067
10.24,-0.08,-0.055,-2.055
10.79,-0.073,-0.055,-2.035
10.84,-0.057,-0.055,-2.045
10.89,-0.058,-0.055,-2.049
11.44,-0.057,-0.054,-2.05
11.49,-0.057,-0.054,-2.052
12.04,-0.057,-0.054,-2.054
12.59,-0.057,-0.054,-2.054
12.65,-0.057,-0.054,-2.056
12.7,-0.057,-0.054,-2.057
12.75,-0.057,-0.054,-2.058
13.3,-0.057,-0.054,-2.059
13.35,-0.057,-0.054,-2.06
13.4,-0.057,-0.054,-2.061
13.95,-0.057,-0.054,-2.061
14.0,-0.057,-0.054,-2.062
14.05,-0.056,-0.053,-2.062
14.6,-0.056,-0.053,-2.063
14.65,-0.056,-0.053,-2.064
14.7,-0.056,-0.053,-2.063
15.26,-0.056,-0.053,-2.064
15.31,-0.056,-0.053,-2.065
15.86,-0.056,-0.053,-2.066
15.91,-0.056,-0.053,-2.067
16.46,-0.056,-0.053,-2.068
16.51,-0.056,-0.053,-2.068
16.56,-0.056,-0.053,-2.069
17.11,-0.056,-0.053,-2.07
17.16,-0.056,-0.053,-2.071
17.21,-0.056,-0.053,-2.071
17.76,-0.056,-0.053,-2.072
17.82,-0.056,-0.053,-2.072
17.87,-0.056,-0.053,-2.073
18.42,-0.056,-0.053,-2.073
18.47,-0.056,-0.053,-2.074
19.02,-0.056,-0.053,-2.075
19.07,-0.056,-0.053,-2.075
19.13,-0.056,-0.053,-2.076
19.68,-0.056,-0.053,-2.076
19.73,-0.056,-0.053,-2.077
20.28,-0.056,-0.053,-2.077
20.33,-0.056,-0.053,-2.078
20.38,-0.056,-0.052,-2.078
20.93,-0.056,-0.052,-2.079
20.98,-0.056,-0.053,-2.079
21.03,-0.056,-0.053,-2.079
21.59,-0.056,-0.053,-2.08
21.64,-0.056,-0.053,-2.08
21.69,-0.056,-0.053,-2.081
22.24,-0.056,-0.053,-2.081
22.29,-0.056,-0.053,-2.081
22.84,-0.056,-0.053,-2.082
22.89,-0.056,-0.053,-2.082
22.94,-0.056,-0.053,-2.082
23.49,-0.056,-0.053,-2.083
23.55,-0.056,-0.053,-2.083
23.6,-0.056,-0.053,-2.083
24.15,-0.055,-0.053,-2.084
24.2,-0.055,-0.053,-2.084
24.75,-0.056,-0.052,-2.085
24.8,-0.055,-0.052,-2.085
24.85,-0.055,-0.052,-2.085
25.41,-0.055,-0.052,-2.085
25.46,-0.055,-0.052,-2.085
25.51,-0.055,-0.052,-2.086
26.06,-0.055,-0.052,-2.086
26.11,-0.055,-0.052,-2.086
26.17,-0.055,-0.052,-2.086
26.72,-0.055,-0.052,-2.087
26.77,-0.055,-0.052,-2.087
27.32,-0.055,-0.052,-2.087
27.37,-0.055,-0.052,-2.087
27.92,-0.055,-0.052,-2.087
27.97,-0.055,-0.052,-2.087
28.03,-0.055,-0.052,-2.087
28.58,-0.055,-0.052,-2.088
28.63,-0.055,-0.052,-2.088
28.68,-0.055,-0.052,-2.088
29.23,-0.055,-0.052,-2.088
29.28,-0.055,-0.052,-2.088
29.33,-0.055,-0.052,-2.088
29.88,-0.055,-0.052,-2.089
29.93,-0.055,-0.052,-2.089
